"C_name","meets_at","S_key","S_name"
"class1","mon","S1","stu1"
"class1","mon","S2","stu2"
"class1","mon","S7","stu7"
"class1","mon","S12","stu12"
"class2","mon","S1","stu1"
"class2","mon","S3","stu3"
"class2","mon","S4","stu4"
"class2","mon","S12","stu12"
"class3","tue","S1","stu1"
"class3","tue","S5","stu5"
"class3","tue","S6","stu6"
"class3","tue","S7","stu7"
"class3","tue","S11","stu11"
"class3","tue","S13","stu13"
"class4","tue","S3","stu3"
"class4","tue","S4","stu4"
"class4","tue","S6","stu6"
"class4","tue","S8","stu8"
"class4","tue","S10","stu10"
"class4","tue","S13","stu13"
"class5","fri","S3","stu3"
"class5","fri","S7","stu7"
"class5","fri","S9","stu9"
"class5","fri","S10","stu10"
"class5","fri","S14","stu14"
"class6","fri","S9","stu9"
"class6","fri","S10","stu10"
"class6","fri","S11","stu11"
"class6","fri","S14","stu14"
